Cyprus,CYP,..,..,..,869.1814607,1261.513614,1306.774177,1780.703196,1981.394321,2265.416851,2159.602708,2195.347504,2105.25277,1961.784466,1687.785428,1712.124092
Czech Republic,CZE,..,..,..,4342.960366,4557.317686,4764.268339,4796.941458,4019.804879,3988.038494,4400.878113,4237.896741,4077.356059,4054.085018,3989.991414,3915.113582
Denmark,DNK,1922.973673,2822.734845,3971.430728,3453.207222,3735.144086,3774.101134,3376.783307,3706.440187,3489.614796,3487.631914,3510.79685,3230.188031,3091.58158,3125.33776,2872.573547
Dominican Republic,DOM,..,..,..,598.2221135,591.237555,521.8873712,558.8846445,664.8650231,843.1627602,748.5467492,760.7701972,764.8009718,797.4015628,742.472058,734.4078962
Ecuador,ECU,..,..,..,449.6612541,626.3771643,620.7638775,619.492232,687.9602202,698.0762549,679.8225411,788.0642317,821.168247,797.9498389,846.4532271,891.6886204
"Egypt, Arab Rep.",EGY,..,..,..,249.8747949,342.295866,511.0142549,561.7428103,551.3367735,580.604826,800.698282,862.5107342,886.313268,891.2415468,835.3735486,814.9880595
El Salvador,SLV,..,..,..,544.9278787,549.9054294,532.9846909,469.7846844,598.6011693,676.1056345,747.6566858,689.4299833,692.9505729,679.1440171,638.1309076,647.3096097
Eritrea,ERI,..,..,..,..,..,..,..,322.86494,208.6450104,191.9769857,168.7155533,169.7554467,..,..,..
Estonia,EST,..,..,..,..,..,..,6232.731998,3624.431136,3374.70839,3846.392943,4222.73719,4237.729191,4174.387766,4623.279112,4592.616457
Ethiopia,ETH,..,..,..,471.9522977,473.4599828,471.7938768,476.9244251,475.8434322,476.2457634,480.5092225,486.34232,489.6818049,490.6903769,494.728454,496.8146013
Finland,FIN,2196.953067,2887.694106,3872.223019,4181.810657,5146.642299,5269.892371,5691.571186,5661.903876,6262.192079,6562.022311,6828.783753,6537.637298,6275.770964,6116.227294,6213.357766
France,FRA,1692.261779,2101.175153,2947.089402,3040.628745,3465.260917,3588.714432,3828.40926,3981.352443,4135.47778,4287.157074,4016.847638,3847.072965,3836.657702,3833.540939,3657.990597
Gabon,GAB,..,..,..,1998.79178,1884.549186,1638.267165,1240.695349,1234.832254,1194.543676,2140.7101,3098.421544,2411.372099,2064.22069,2913.542889,2705.823332
Germany,DEU,1952.588632,2378.339732,3860.864936,3984.974239,4562.295973,4598.138495,4421.364531,4119.688948,4094.06036,4086.503407,3997.079421,3869.816229,3876.948104,3939.529563,3779.461921
Ghana,GHA,..,..,..,372.2417351,372.4741317,342.2556595,361.6994092,386.1040387,331.4031825,273.1964786,302.1745502,314.7268213,332.5276379,339.8061455,335.0505291
Gibraltar,GIB,..,..,..,1056.56231,1072.575317,1202.006158,1972.87752,3478.687763,4100.35279,4705.127006,5212.148603,5027.031881,5111.76873,5434.069345,5759.004642
Greece,GRC,289.057068,478.7558566,872.783728,1298.204363,1553.781616,1766.766154,2102.677685,2147.136479,2506.639948,2753.051201,2482.110116,2407.762736,2403.230472,2128.010669,2123.897891
Guatemala,GTM,..,..,..,517.9219575,520.6807645,457.5185132,476.1671031,511.1580557,604.3157934,595.590434,696.79463,729.1484421,725.0535261,772.3026242,830.0945159
Haiti,HTI,..,..,..,333.5165242,366.1504744,294.766059,219.7930851,216.526855,235.1446919,367.697015,379.6718414,387.3707326,395.7791706,392.8485428,392.8011686
