Year BP,CO2 (ppm),Sigma mean CO2 (ppm)
-67.3699,409.91,0
-67.4548,409.12,0
-67.2877,408.95,0
-66.3716,407.66,0
-66.2896,407.57,0
-67.537,407.2,0
-67.2027,407.06,0
-66.4563,407,0
-67.126,406.64,0
-67.0411,406.07,0
-67.6219,405.24,0
-66.2049,404.85,0
-66.9563,404.55,0
-66.5383,404.5,0
-66.1257,404.16,0
-65.3699,404.1,0
-66.8743,403.64,0
-65.2877,403.45,0
-65.4548,402.88,0
-66.041,402.65,0
-66.623,402.24,0
-65.9562,401.89,0
-64.3699,401.88,0
-65.537,401.61,0
-65.2027,401.51,0
-66.7896,401.5,0
-64.2877,401.33,0
-64.4548,401.31,0
-66.7077,401.01,0
-65.126,400.31,0
-65.874,400.24,0
-63.3699,399.98,0
-65.0411,399.85,0
-64.2027,399.47,0
-64.537,399.07,0
-65.6219,399,0
-63.4548,398.87,0
-64.9562,398.79,0
-63.2877,398.35,0
-65.789,398.28,0
-64.126,398.1,0
-64.0411,397.93,0
-65.7068,397.5,0
-63.537,397.37,0
-63.2027,397.26,0
-64.874,397.22,0
-64.6219,397.21,0
-62.3716,396.87,0
-63.126,396.85,0
-63.9562,396.82,0
-62.2896,396.43,0
-62.4563,395.88,0
-64.789,395.65,0
-63.0411,395.61,0
-63.6219,395.41,0
-64.7068,395.4,0
-63.874,395.19,0
-62.5383,394.52,0
-62.2049,394.36,0
-62.9563,394.34,0
-61.3699,394.28,0
-63.789,393.7,0
-61.4548,393.69,0
-63.7068,393.39,0
-61.2877,393.37,0
-62.1257,393.35,0
-60.3699,393.22,0
-62.041,393.07,0
-62.8743,392.95,0
-61.537,392.6,0
-62.623,392.54,0
-61.2027,392.45,0
-60.2877,392.38,0
-60.4548,392.24,0
-61.126,391.92,0
-61.9562,391.8,0
-61.0411,391.3,0
-62.7077,391.13,0
-60.2027,391.01,0
-62.7896,391.01,0
-60.537,390.33,0
-61.874,390.24,0
-61.6219,390.21,0
-59.3699,390.16,0
-60.126,390.07,0
-60.9562,389.81,0
-59.4548,389.62,0
-59.2877,389.57,0
-61.7068,389,0
-61.789,388.93,0
-60.874,388.67,0
-60.0411,388.55,0
-60.6219,388.52,0
-58.3716,388.51,0
-59.2027,388.51,0
-59.537,388.07,0
-58.4563,388.05,0
-59.9562,387.49,0
-60.789,387.16,0
-59.126,387.12,0
-60.7068,386.84,0
-58.2896,386.77,0
-59.0411,386.65,0
-57.3699,386.41,0
-58.5383,386.25,0
-57.2877,386.23,0
-59.6219,386.08,0
-59.874,386.05,0
-57.4548,385.87,0
-58.1257,385.84,0
-58.2049,385.83,0
-58.9563,385.11,0
-58.041,385.07,0
-56.3699,384.92,0
-59.7068,384.65,0
-57.537,384.45,0
-56.2877,384.37,0
-57.2027,384.34,0
-59.789,384.33,0
-58.623,384.08,0
-56.4548,384.03,0
-58.8743,384.01,0
-57.126,383.71,0
-57.9562,383.61,0
-58.7077,383.09,0
-58.7896,382.78,0
-57.0411,382.58,0
-56.2027,382.56,0
-57.874,382.35,0
-56.537,382.28,0
-55.3699,382.24,0
-55.4548,382.08,0
-55.2877,382.05,0
-56.126,382.02,0
-57.6219,381.84,0
-56.9562,381.66,0
-56.0411,381.37,0
-57.7068,380.86,0
-57.789,380.86,0
-55.537,380.67,0
-54.3716,380.61,0
-54.2896,380.5,0
-56.6219,380.48,0
-56.874,380.14,0
-55.2027,380.07,0
-55.9562,379.96,0
-55.126,379.61,0
-54.4563,379.55,0
-56.789,379.06,0
-56.7068,378.81,0
-55.6219,378.67,0
-54.2049,378.39,0
-53.3699,378.35,0
-55.0411,378.34,0
-55.874,378.31,0
-53.4548,378.13,0
-54.5383,377.76,0
-53.2877,377.65,0
-54.9563,377.44,0
-54.1257,377.36,0
-55.789,376.8,0
-54.041,376.79,0
-53.537,376.61,0
-55.7068,376.42,0
-53.2027,376.11,0
-54.623,375.84,0
-54.8743,375.84,0
-53.9562,375.69,0
-53.126,375.62,0
-52.3699,375.55,0
-52.4548,375.4,0
-52.2877,374.86,0
-53.0411,374.68,0
-53.6219,374.48,0
-53.874,374.35,0
-54.7896,374.22,0
-54.7077,374.05,0
-51.3699,374.02,0
-52.537,374.02,0
-52.9562,373.78,0
-52.2027,373.52,0
-51.4548,373.31,0
-52.126,373.08,0
-53.789,373,0
-53.7068,372.98,0
-51.2877,372.86,0
-52.0411,372.44,0
-51.2027,372.12,0
-52.874,372.08,0
-50.3716,371.83,0
-50.4563,371.69,0
-50.2896,371.66,0
-51.537,371.62,0
-51.126,371.5,0
-52.6219,371.49,0
-51.9562,371.24,0
-49.2877,371.14,0
-49.3699,371,0
-52.7068,370.7,0
-50.2049,370.51,0
-49.4548,370.35,0
-51.0411,370.28,0
-52.789,370.25,0
-50.5383,370.12,0
-51.874,369.68,0
-49.2027,369.59,0
-51.6219,369.55,0
-50.9563,369.53,0
-50.1257,369.46,0
-48.3699,369.3,0
-49.537,369.27,0
-50.041,369.14,0
-48.4548,368.88,0
-49.126,368.87,0
-48.2877,368.61,0
-50.8743,368.29,0
-49.0411,368.15,0
-50.623,368.12,0
-51.789,368.1,0
-49.9562,368,0
-51.7068,367.96,0
-48.537,367.64,0
-48.2027,367.31,0
-48.9562,366.97,0
-49.6219,366.93,0
-47.3699,366.8,0
-50.7896,366.73,0
-49.874,366.68,0
-50.7077,366.62,0
-47.2877,366.36,0
-48.126,366.15,0
-48.6219,365.78,0
-47.4548,365.63,0
-48.874,365.46,0
-46.3716,365.41,0
-48.0411,365.33,0
-49.789,365.13,0
-46.4563,364.97,0
-46.2896,364.71,0
-49.7068,364.64,0
-47.2027,364.56,0
-47.537,364.47,0
-47.9562,364.28,0
-48.789,364.24,0
-46.2049,364.02,0
-47.126,363.99,0
-48.7068,363.9,0
-45.3699,363.8,0
-46.5383,363.65,0
-45.2877,363.45,0
-45.4548,363.26,0
-46.1257,363.24,0
-47.0411,363.18,0
-47.6219,362.5,0
-47.874,362.43,0
-46.9563,362.33,0
-46.041,362.05,0
-45.537,361.89,0
-44.3699,361.69,0
-45.2027,361.64,0
-46.623,361.48,0
-44.2877,361.26,0
-45.126,361,0
-44.4548,360.94,0
-47.789,360.77,0
-46.8743,360.76,0
-45.9562,360.7,0
-43.3699,360.28,0
-47.7068,360.19,0
-44.2027,359.97,0
-45.0411,359.97,0
-42.3716,359.66,0
-46.7896,359.61,0
-43.4548,359.6,0
-45.874,359.56,0
-44.537,359.55,0
-43.2877,359.46,0
-45.6219,359.45,0
-46.7077,359.45,0
-41.3699,359.34,0
-42.4563,359.25,0
-42.2896,359.15,0
-44.9562,359.04,0
-44.126,358.91,0
-41.2877,358.6,0
-43.2027,358.38,0
-44.0411,358.37,0
-41.4548,358.24,0
-45.7068,358.05,0
-42.2049,357.81,0
-45.789,357.76,0
-44.874,357.58,0
-43.537,357.57,0
-44.6219,357.48,0
-40.3699,357.16,0
-41.2027,357.16,0
-43.126,357.16,0
-42.5383,357.02,0
-43.9562,356.8,0
-42.1257,356.72,0
-43.0411,356.7,0
-40.4548,356.23,0
-40.2877,356.2,0
-41.537,356.17,0
-44.789,356,0
-42.041,355.99,0
-44.7068,355.84,0
-41.126,355.75,0
-39.3699,355.67,0
-43.6219,355.52,0
-39.2877,355.42,0
-42.9563,355.4,0
-40.2027,355.38,0
-43.874,355.33,0
-39.4548,355.12,0
-42.623,355,0
-41.9562,354.99,0
-40.537,354.81,0
-41.0411,354.72,0
-40.126,354.7,0
-38.3716,354.22,0
-40.9562,354.21,0
-42.8743,354.16,0
-41.6219,354.02,0
-43.789,353.99,0
-39.537,353.9,0
-38.4563,353.79,0
-41.874,353.75,0
-43.7068,353.69,0
-39.2027,353.68,0
-40.0411,353.66,0
-38.2896,353.59,0
-42.7896,353.31,0
-39.126,353.07,0
-42.7077,353.01,0
-40.6219,352.91,0
-40.874,352.83,0
-39.0411,352.76,0
-39.9562,352.52,0
-38.5383,352.38,0
-38.2049,352.22,0
-41.789,352.21,0
-41.7068,352.15,0
-37.3699,351.85,0
-38.1257,351.73,0
-39.6219,351.67,0
-38.9563,351.34,0
-39.874,351.3,0
-37.4548,351.26,0
-40.789,351.18,0
-37.2877,350.99,0
-40.7068,350.96,0
-38.041,350.43,0
-38.623,350.43,0
-36.3699,350.22,0
-38.8743,350.07,0
-39.789,349.99,0
-39.7068,349.8,0
-36.2877,349.55,0
-36.4548,349.55,0
-37.537,349.51,0
-37.2027,349.41,0
-37.9562,348.96,0
-35.3699,348.93,0
-38.7896,348.88,0
-38.7077,348.73,0
-37.126,348.48,0
-35.2877,348.35,0
-35.4548,348.25,0
-37.6219,348.1,0
-37.0411,348.02,0
-36.537,347.94,0
-36.2027,347.85,0
-37.874,347.81,0
-34.3716,347.43,0
-35.2027,347.42,0
-34.2896,347.06,0
-36.126,346.95,0
-36.9562,346.9,0
-34.4563,346.8,0
-35.537,346.56,0
-37.7068,346.45,0
-37.789,346.36,0
-36.0411,346.3,0
-35.126,345.99,0
-36.6219,345.9,0
-33.3699,345.76,0
-36.874,345.66,0
-35.9562,345.56,0
-34.5383,345.39,0
-33.4548,345.32,0
-34.2049,345.28,0
-35.0411,344.97,0
-33.2877,344.94,0
-36.7068,344.85,0
-35.6219,344.68,0
-34.1257,344.5,0
-35.874,344.24,0
-34.9563,344.22,0
-36.789,344.17,0
-32.3699,344.14,0
-33.537,343.98,0
-34.041,343.7,0
-32.2877,343.57,0
-32.4548,343.35,0
-34.623,343.28,0
-33.2027,343.1,0
-35.7068,343.09,0
-33.9562,342.99,0
-34.8743,342.98,0
-31.3699,342.91,0
-35.789,342.8,0
-32.2027,342.7,0
-33.126,342.52,0
-31.2877,342.51,0
-33.6219,342.38,0
-31.4548,342.25,0
-32.537,342.06,0
-32.126,341.61,0
-30.3716,341.47,0
-31.2027,341.38,0
-33.0411,341.38,0
-34.7896,341.35,0
-30.4563,341.17,0
-33.874,341.15,0
-34.7077,341.07,0
-30.2896,340.77,0
-32.0411,340.75,0
-31.537,340.49,0
-32.9562,340.49,0
-31.126,340.48,0
-30.2049,340.07,0
-33.789,339.99,0
-33.7068,339.87,0
-32.6219,339.81,0
-31.9562,339.61,0
-30.5383,339.56,0
-29.3699,339.47,0
-29.4548,339.29,0
-32.874,339.26,0
-31.0411,339.24,0
-29.2877,338.88,0
-31.6219,338.43,0
-30.1257,338.36,0
-31.874,338.36,0
-30.9563,338.21,0
-28.3699,338.01,0
-30.041,338.01,0
-32.7068,337.98,0
-29.2027,337.96,0
-28.4548,337.89,0
-32.789,337.86,0
-28.2877,337.76,0
-29.537,337.73,0
-30.623,337.6,0
-30.8743,337.1,0
-31.789,336.86,0
-29.126,336.76,0
-27.3699,336.75,0
-29.9562,336.73,0
-31.7068,336.69,0
-28.2027,336.64,0
-28.537,336.54,0
-27.4548,336.27,0
-29.0411,336.23,0
-29.6219,336.09,0
-27.2877,336.07,0
-30.7896,336.02,0
-30.7077,335.88,0
-28.126,335.38,0
-29.874,335.29,0
-28.0411,334.97,0
-28.9562,334.95,0
-27.537,334.92,0
-26.3716,334.88,0
-27.2027,334.7,0
-28.6219,334.68,0
-26.2896,334.58,0
-26.4563,334.33,0
-25.3699,333.97,0
-28.874,333.92,0
-29.7068,333.92,0
-29.789,333.86,0
-27.9562,333.85,0
-25.4548,333.6,0
-26.2049,333.5,0
-27.126,333.42,0
-25.2877,333.31,0
-24.3699,333.09,0
-26.5383,333.05,0
-27.0411,332.93,0
-28.7068,332.76,0
-27.6219,332.75,0
-24.2877,332.65,0
-26.1257,332.56,0
-28.789,332.55,0
-23.3699,332.48,0
-27.874,332.4,0
-24.4548,332.25,0
-23.4548,332.07,0
-25.2027,332.04,0
-25.537,331.9,0
-26.041,331.75,0
-26.9563,331.68,0
-27.7068,331.59,0
-23.2877,331.5,0
-24.2027,331.48,0
-25.126,331.4,0
-24.537,331.18,0
-27.789,331.16,0
-26.623,330.94,0
-23.537,330.87,0
-25.9562,330.76,0
-24.126,330.71,0
-25.0411,330.4,0
-26.8743,330.31,0
-23.2027,330.3,0
-22.3716,330.07,0
-25.6219,330.06,0
-22.2896,329.73,0
-24.9562,329.57,0
-23.126,329.56,0
-25.874,329.49,0
-24.6219,329.39,0
-24.0411,329.35,0
-23.6219,329.31,0
-26.7077,329.3,0
-22.4563,329.09,0
-26.7896,328.94,0
-21.3699,328.92,0
-23.9562,328.64,0
-21.4548,328.57,0
-25.7068,328.56,0
-23.0411,328.55,0
-24.874,328.46,0
-25.789,328.34,0
-23.874,328.16,0
-20.2877,328.14,0
-20.3699,328.08,0
-22.5383,328.04,0
-21.2877,327.79,0
-22.2049,327.75,0
-20.4548,327.67,0
-22.1257,327.63,0
-22.9563,327.55,0
-23.7068,327.51,0
-24.7068,327.43,0
-19.3699,327.38,0
-24.789,327.37,0
-21.537,327.36,0
-23.789,327.18,0
-21.2027,327.17,0
-20.2027,326.93,0
-22.041,326.77,0
-19.4548,326.7,0
-21.126,326.68,0
-19.2877,326.66,0
-22.8743,326.5,0
-20.537,326.34,0
-22.623,326.32,0
-21.0411,326.17,0
-21.9562,326.01,0
-20.126,325.98,0
-19.537,325.88,0
-19.2027,325.63,0
-18.3716,325.57,0
-21.6219,325.43,0
-18.4563,325.36,0
-22.7896,325.2,0
-20.9562,325.13,0
-20.0411,325.06,0
-18.2896,325.02,0
-17.3699,325,0
-22.7077,324.84,0
-21.874,324.8,0
-20.6219,324.69,0
-17.2877,324.42,0
-19.126,324.42,0
-18.5383,324.14,0
-19.9562,324.12,0
-17.4548,324.09,0
-16.3699,324.08,0
-20.874,324.01,0
-19.0411,324,0
-18.2049,323.89,0
-16.4548,323.75,0
-16.2877,323.7,0
-19.6219,323.66,0
-21.789,323.56,0
-21.7068,323.36,0
-18.1257,323.14,0
-20.7068,323.1,0
-20.789,323.07,0
-17.2027,323.04,0
-18.9563,322.89,0
-19.874,322.85,0
-18.041,322.57,0
-17.537,322.55,0
-17.126,322.5,0
-16.2027,322.39,0
-16.537,322.39,0
-19.7068,322.38,0
-17.0411,322.33,0
-14.3716,322.26,0
-13.3699,322.25,0
-15.3699,322.17,0
-15.2877,322.14,0
-18.623,322.11,0
-17.9562,321.96,0
-14.4563,321.89,0
-15.4548,321.87,0
-14.2896,321.84,0
-19.789,321.78,0
-16.126,321.59,0
-13.4548,321.48,0
-13.2877,321.39,0
-18.8743,321.32,0
-15.537,321.21,0
-16.9562,321.03,0
-12.3699,321.02,0
-17.6219,320.92,0
-15.2027,320.89,0
-14.2049,320.75,0
-17.874,320.72,0
-12.4548,320.62,0
-16.0411,320.62,0
-11.3699,320.58,0
-12.2877,320.57,0
-14.5383,320.44,0
-15.126,320.44,0
-16.6219,320.36,0
-18.7077,320.33,0
-18.7896,320.25,0
-10.3716,320.04,0
-14.1257,319.99,0
-13.2027,319.86,0
-16.874,319.79,0
-11.4548,319.77,0
-13.537,319.74,0
-12.2027,319.68,0
-12.537,319.61,0
-10.4563,319.59,0
-14.041,319.57,0
-11.2877,319.48,0
-15.0411,319.44,0
-15.9562,319.42,0
-17.789,319.39,0
-17.7068,319.25,0
-13.126,319.07,0
-10.2896,319.03,0
-15.6219,318.87,0
-15.874,318.87,0
-13.0411,318.74,0
-14.9563,318.71,0
-14.623,318.69,0
-16.7068,318.64,0
-11.537,318.57,0
-12.126,318.55,0
-11.2027,318.54,0
-13.9562,318.35,0
-9.3699,318.29,0
-10.5383,318.18,0
-9.4548,318.15,0
-16.789,318.1,0
-12.0411,317.94,0
-15.7068,317.82,0
-13.6219,317.77,0
-9.2877,317.72,0
-11.126,317.7,0
-12.9562,317.7,0
-14.8743,317.68,0
-10.2049,317.58,0
-8.3699,317.51,0
-8.2877,317.46,0
-12.6219,317.4,0
-15.789,317.3,0
-8.4548,317.22,0
-13.874,317.06,0
-11.9562,317.01,0
-10.1257,316.98,0
-11.0411,316.9,0
-14.7896,316.87,0
-11.6219,316.79,0
-14.7077,316.71,0
-12.874,316.69,0
-9.2027,316.65,0
-9.537,316.54,0
-9.126,316.48,0
-10.041,316.43,0
-12.7068,316.25,0
-13.7068,316.21,0
-10.9563,316.19,0
-11.874,316.1,0
-13.789,315.99,0
-10.623,315.9,0
-8.537,315.86,0
-8.2027,315.69,0
-9.0411,315.58,0
-9.9562,315.58,0
-12.789,315.42,0
-11.789,315.31,0
-10.8743,315,0
-11.7068,314.99,0
-8.6219,314.93,0
-9.874,314.81,0
-9.6219,314.8,0
-8.9562,314.67,0
-10.7077,314.17,0
-9.7068,313.84,0
-10.7896,313.83,0
-9.789,313.34,0
-8.874,313.33,0
-8.7068,313.21,0
-8.789,312.45,0
0.33,313.66,2.21
1.23,309.69,0.41
2.29,311.57,2.21
3.34,310.36,0.63
3.37,312.87,2.21
4.38,312.56,2.21
4.44,311.97,2.08
4.61,311.81,3.12
5.04,310.44,2.56
5.24,311.28,0.41
5.49,310.22,0.63
6.43,312.36,2.21
7.79,311.88,2.77
7.96,312.84,2.56
8.22,312.39,2.21
9.16,311.80,2.21
9.25,307.74,1.16
10.03,309.80,0.64
10.41,310.95,0.63
10.78,311.21,0.63
11.03,310.46,2.17
11.84,308.48,0.64
11.87,311.94,1.34
12.13,311.52,2.21
12.23,312.33,0.13
13.14,307.41,1.16
14.13,309.34,2.87
14.29,307.26,1.16
14.94,306.32,1.16
16.12,309.63,0.63
16.41,307.08,2.56
17.22,305.94,1.16
17.46,308.28,2.21
17.71,308.26,0.63
19.17,305.74,1.45
20.61,305.38,0.07
21.26,305.78,0.64
21.46,305.71,0.94
21.84,305.67,0.64
22.20,308.02,3.18
24.69,304.97,0.63
25.25,304.72,1.72
27.16,306.20,3.82
27.49,303.18,0.94
30.29,301.88,1.16
31.33,304.61,2.21
32.13,303.85,0.67
34.21,301.92,0.63
35.61,300.70,2.45
37.48,301.30,0.63
38.71,299.26,1.72
38.90,297.73,1.72
39.28,298.11,2.56
40.24,297.87,1.16
41.48,301.50,2.21
44.23,299.63,0.64
44.46,297.33,0.63
44.65,299.02,0.63
46.09,295.99,0.94
48.30,295.61,1.33
49.82,294.22,1.16
51.06,297.05,2.21
51.34,295.28,0.63
56.24,293.81,0.94
56.34,293.17,1.72
56.94,295.32,0.64
57.12,294.86,1.72
57.61,295.17,0.63
60.13,290.92,1.16
60.99,292.34,0.68
62.61,294.34,0.63
64.40,288.12,2.01
65.82,289.23,0.62
66.21,289.76,0.94
67.08,292.46,0.95
70.05,287.77,1.16
73.09,289.33,0.63
76.26,291.56,2.21
77.17,286.66,1.34
79.96,286.33,1.16
80.34,287.99,0.63
81.59,289.54,1.72
82.27,287.99,0.41
83.26,285.05,1.68
85.87,286.65,1.16
87.02,285.35,0.94
88.17,287.17,0.63
91.16,286.63,0.41
93.38,283.16,1.16
95.28,285.57,0.63
96.29,288.05,2.21
98.89,285.47,0.63
99.17,288.79,0.41
99.74,284.00,1.16
102.68,286.84,0.64
104.10,283.62,1.34
105.35,283.18,1.16
105.54,283.53,1.16
106.71,281.58,1.16
109.17,283.65,0.63
113.30,284.15,0.94
116.82,283.82,0.94
117.13,285.09,0.95
123.08,285.91,0.64
125.26,281.36,0.94
136.34,284.43,0.94
150.66,282.80,0.79
153.53,280.40,1.72
154.06,282.30,0.63
155.90,281.62,0.94
169.70,273.07,0.41
170.51,280.24,0.63
176.54,277.86,0.94
186.30,276.40,0.94
187.12,277.16,0.63
197.87,278.00,0.63
198.07,276.46,0.94
200.88,277.60,0.63
208.74,276.81,0.94
