Region,2005,2015
China,8300000000,1.029E+11
Europe,33350000000,48760000000
Asia and Oceania (exc. China and India) ,9040000000,47560000000
United States of America,11870000000,44110000000
Americas (exc. US and Brazil),3320000000,12830000000
Middle East and Africa,780000000,12470000000
India,3030000000,10160000000
Brazil,3150000000,7140000000
